name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
KK13,25.57,26.3678, 7.20, 357, 17.12, 31,2.067528164814359,0.0909858389282141
KK16,28.8358,27.9542, 5.47, 207, 17.42, 24,0.31265182983089684,0.12893049737756232
UGC07827,189.9121,44.8208, 8.50, 553, 15.26, 44,5.481310191663212,0.09455525747576701
KK14,26.1779,27.2878, 7.20, 420, 16.22, 28,11.441826627001351,0.06355997457606326
KK15,26.6733,26.8014, 7.20, 366, 17.50, 22,6.554121705544473,0.05519474270121474
NGC4163,183.0371,36.1694, 2.94, 162, 15.28, 32,19.16390107734018,0.07094562082585731
NGC7640,350.5275,40.8456, 7.90, 369, 11.55,238,608.6062843666836,0.17586411771626223
UGC07690,188.1121,42.7042,11.2, 536, 14.48, 71,36.77429724138708,0.10033225916290649
NGC4242,184.3758,45.6194, 7.90, 517, 13.58,108,40.96026114004629,0.09243014885742631
DDO168,198.6192,45.9194, 4.33, 191, 13.14, 59,135.629212706766,0.1351989561021822
DDO167,198.345,46.3197, 4.19, 150, 15.96, 19,2.8247746107313367,0.06144070992245076
NGC5474,211.2587,53.6631, 7.20, 288, 12.52, 39,201.2458040898898,0.07502884486729237
HolmIV,208.6879,53.9047, 7.21, 140, 14.24, 78,34.640388207791304,0.06953128047947207
