name,flux [Jy/BA],+/-,mass [M_sol x10^6],+/-
UGC06541,9.554924617060909,0.07000590223830262,34.12231365228726,2.500033699294117e-06
UGC03501,6.022419254954267,0.07634140234087612,341.46514933665196,4.3284811713253356e-05
UGC07267,19.06276663596714,0.08802615418613255,748.6474590303449,3.457030027074979e-05
NGC5238,14.699604552469134,0.0906211647596032,70.56197666761186,4.3500547858512595e-06
NGC4068,49.6629910705528,0.0837860525796468,217.7205464684642,3.6731466955264726e-06
KDG192,9.932494639801874,0.08299185406238255,130.10167496396244,1.0870762697029835e-05
NGC3738,41.19263671875,0.08015020997555422,233.41230899765628,4.541599437970814e-06
NGC5585,384.6456618740476,0.1862878115602148,2949.324462811923,1.4283878754315652e-05
NGC5204,233.82505547398927,0.12070635558423928,1198.325724417627,6.186057807367252e-06
IC0010,1148.625674037281,0.22077897080485895,118.08055709211094,2.2696431445092786e-07
MB1,23.510505949341542,0.09697571035004056,49.936314636401434,2.0597640878348615e-06
KK251,45.597044948621814,0.0931439057801074,373.31830936265146,7.626004157165189e-06
DDO087,39.93199110008191,0.12043171050576772,523.052779303622,1.577485598913744e-05
KDG235,2.5299512517285945,0.08418034206370931,67.08661614403707,2.232206763289697e-05
UGC05423,0.7663466540102838,0.07502884486729236,13.720615009902374,1.3433110064156341e-05
HolmII,497.71154634452165,0.10548080563814875,1349.8612033720271,2.860782480879039e-06
KDG052,1.8369818097845436,0.07634140234087612,5.463532928843092,2.270538354282103e-06
HolmI,75.98279567496485,0.11708573054962691,264.41721120952377,4.074538462206486e-06
UGC05086,61.957119418344895,0.3136043110025665,1158.1991292739956,5.862381003985138e-05
NGC4627,606.4987232155428,0.20345052083333331,7627.594802596881,2.5586832682291664e-05
CGCG262-028,9.30526942746075,0.08951822916666666,110.70255711383795,1.0649768880208331e-05
UGC11411,5.247475243943664,0.08457279333832408,27.706692376913626,4.46544720946642e-06
AGC112521,7.645075849593179,0.12043171050576774,76.69887484558483,1.2082256439631156e-05
KK13,2.067528164814359,0.0909858389282141,25.29463577509842,1.1131425900491141e-05
KK16,0.31265182983089684,0.12893049737756232,2.207738495904198,9.104210984802957e-06
